Study,Species common name,Species,Regne,Phyla,Classe,Ordre,Factor,Factor variation,Crossing/wild,Method,Type of h? (narrow / broad),comment,Which is stressful?,Stress (heat/acidity/drought/wet),trait,trait type (lht/morpho/physio/behav),error type,h? mild environment,se h? mild,range of CI mild,SE m,h? harsh environment,se h? harsh environment,range of CI harsh,SE h,error type,evolvability mild environment,se evolvability mild environment,evolvability harsh environment,se evolvability harsh environment,error type,Evol_Mild,Evol_Harsh,Va mild environment,se Va mild environment,Va harsh environment,se Va harsh environment,Vp mild,Vp harsh,mean mild,se mean mild,mean harsh,se mean harsh,ISSN,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,Early Access Date,UT (Unique WOS ID)
16,lesser valley coral,Platygyra daedalea,Aniimalia,Cnidaria,Hexacoralia,Scleractinia,temperature,Lab experiment,controlled crossing corals known relatedness,animal model,narrow sense,NO SE!!! At temperature temperature little variance as little mortality,heat,heat,Counts 15 hours (survival),LHT,none,0.0003,,,NA,0.001,,,NA,,,,,,,,,,,,,,,,,,,0962-1083,2018,27,24,5180,5194,,10.1111/mec.14934,,WOS:000454600500016
16,lesser valley coral,Platygyra daedalea,Aniimalia,Cnidaria,Hexacoralia,Scleractinia,temperature,Lab experiment,controlled crossing corals known relatedness,animal model,narrow sense,NO SE!!! At temperature temperature little variance as little mortality,heat,heat,Counts 22hours (survival),LHT,none,0.0009,,,NA,0.1637,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,lesser valley coral,Platygyra daedalea,Aniimalia,Cnidaria,Hexacoralia,Scleractinia,temperature,Lab experiment,controlled crossing corals known relatedness,animal model,narrow sense,NO SE!!! At temperature temperature little variance as little mortality,heat,heat,Counts 38 hours (survival),LHT,none,0.0007,,,NA,0.484,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,lesser valley coral,Platygyra daedalea,Aniimalia,Cnidaria,Hexacoralia,Scleractinia,temperature,Lab experiment,controlled crossing corals known relatedness,animal model,narrow sense,NO SE!!! At temperature temperature little variance as little mortality,heat,heat,mortality 38h,LHT,none,0.0301,,,NA,0.7486,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Quacking frog,Crinia georgiana,Aniimalia,Chordata,Amphibia,Anura,water depth,Lab experiment,North Carolina II breeding design,GLMM,narrow sense,no SE!!!!!,low water,drought,"Proportion of fertilized eggs
reaching Gosner stage 42",LHT,none,0.29,,,NA,0.36,,,NA,none,2.1,,2.43,,none,2.1,2.43,2.48,,2.9,,,,,,,,0003-0147,2018,192,4,461,478,,10.1086/699231,,WOS:000444262900007
17,Quacking frog,Crinia georgiana,Aniimalia,Chordata,Amphibia,Anura,water depth,Lab experiment,North Carolina II breeding design,GLMM,narrow sense,no SE!!!!!,low water,drought,"Proportion of fertilized eggs
completing metamorphosis",LHT,none,0.08,,,NA,0.37,,,NA,none,1.39,,3.21,,none,1.39,3.21,3.24,,0.56,,,,,,,,,,,,,,,,,
17,Quacking frog,Crinia georgiana,Aniimalia,Chordata,Amphibia,Anura,water depth,Lab experiment,North Carolina II breeding design,GLMM,narrow sense,no SE!!!!!,low water,drought,Length of larval period (days),LHT,none,0.14,,,NA,0,,,NA,none,0.04,,0,,none,0.04,0,2,,0,,,,,,,,,,,,,,,,,
17,Quacking frog,Crinia georgiana,Aniimalia,Chordata,Amphibia,Anura,water depth,Lab experiment,North Carolina II breeding design,GLMM,narrow sense,no SE!!!!!,low water,drought,Metamorphic duration (days),LHT,none,0.14,,,NA,0.47,,,NA,,0.04,,0.1,,none,0.04,0.1,0.56,,1.68,,,,,,,,,,,,,,,,,
17,Quacking frog,Crinia georgiana,Aniimalia,Chordata,Amphibia,Anura,water depth,Lab experiment,North Carolina II breeding design,GLMM,narrow sense,no SE!!!!!,low water,drought,Metamorph wet mass (mg),Morphology,none,0,,,NA,0,,,NA,,0,,0,,none,0,0,0,,0,,,,,,,,,,,,,,,,,
17,Quacking frog,Crinia georgiana,Aniimalia,Chordata,Amphibia,Anura,water depth,Lab experiment,North Carolina II breeding design,GLMM,narrow sense,no SE!!!!!,low water,drought,Jumping distance (cm),Physiology,none,0.06,,,NA,0,,,NA,,0.05,,0.07,,none,0.05,0.07,9.52,,0,,,,,,,,,,,,,,,,,
17,Quacking frog,Crinia georgiana,Aniimalia,Chordata,Amphibia,Anura,water depth,Lab experiment,North Carolina II breeding design,GLMM,narrow sense,no SE!!!!!,low water,drought,Metamorph morphology,Morphology,,,,,NA,,,,NA,,,,,,none,,,0.08,,0.08,,,,,,,,,,,,,,,,,
18,intertidal tubeworm,Galeolaria caespitosa,Aniimalia,Annelida,Polycaeta,Sabellida,temperature,Lab experiment,North Carolina II breeding design,animal model,narrow sense,h? from their later paper in evol appl,heat,heat,offspring survival from non warmed parents,LHT,,,,,NA,,,,NA,,,,,,se,0.004156043,0.004900838,0.116,0.02,0.138,0.023,,,81.95,,75.8,,0962-8452,2018,285,1886,,,20181374,10.1098/rspb.2018.1374,,WOS:000444626300012
18,intertidal tubeworm,Galeolaria caespitosa,Aniimalia,Annelida,Polycaeta,Sabellida,temperature,Lab experiment,North Carolina II breeding design,animal model,narrow sense,,heat,heat,offspring survival from  warmed parents,LHT,,,,,NA,,,,NA,,,,,,se,0.003749242,0.003600106,0.081,0.14,0.0863,0.015,,,75.91,,81.6,,,,,,,,,,,
19,brown anole lizards,Anolis sagrei,Aniimalia,Chordata,Reptilia ,Squamata,temperature,Lab experiment,controlled crossing ,animal model,narrow sense,"2 pops, thermal curces so took Temp above optimum (37 vs 42) | pop 1",heat,heat,running speed,Behavior,se,0.124,0.077,,0.077,0.005,0.054,,0.054,,,,,,none,3.277306934,3.938586723,8.7,5.54,0.56,5.57,,,0.9,,0.19,,0962-8452,2018,285,1878,,,20180697,10.1098/rspb.2018.0697,,WOS:000432371500028
19,brown anole lizards,Anolis sagrei,Aniimalia,Chordata,Reptilia ,Squamata,temperature,Lab experiment,controlled crossing ,animal model,narrow sense,pop 2,heat,heat,running speed,Behavior,se,0,0,,0,0,0,,0,,,,,,se,0,0,0,0,0,0,,,,,,,,,,,,,,,,
20,intertidal tubeworm,Galeolaria caespitosa,Aniimalia,Annelida,Polycaeta,Sabellida,temperature,Lab experiment,north carolina,"variance partitioning, Va=4Vsire",narrow sense,"but see paper 22, from non warm parents (kept at 16), keep 17 vs 25",heat,heat,larval survival,LHT,none,0.42,,,NA,0.04,,,NA,,,,,,none,,,,,,,,,,,,,1752-4571,2017,10,3,267,275,,10.1111/eva.12447,,WOS:000394576100006
21,spiny chromis,Acanthochromis polyacanthus,Aniimalia,Chordata,Actinopterygii,Pomacentridae,temperature,Lab experiment,controlled crosses over 2  gnerations,animaml model,narrow sense,,scenario +1.5,heat,resting metabolic rate,Physiology,se,0.39,0.23,,0.23,0.23,0.17,,0.17,,,,,,none,,,,,,,,,,,,,1354-1013,2017,23,1,307,317,,10.1111/gcb.13419,,WOS:000390218300026
21,spiny chromis,Acanthochromis polyacanthus,Aniimalia,Chordata,Actinopterygii,Pomacentridae,temperature,Lab experiment,controlled crosses over 2  gnerations,animaml model,narrow sense,,scenario +3,heat,resting metabolic rate,Physiology,se,0.39,0.23,,0.23,0.32,0.22,,0.22,,,,,,none,,,,,,,,,,,,,,,,,,,,,,
21,spiny chromis,Acanthochromis polyacanthus,Aniimalia,Chordata,Actinopterygii,Pomacentridae,temperature,Lab experiment,controlled crosses over 2  gnerations,animaml model,narrow sense,,scenario +1.5,heat,maxilum metabolic rate,Physiology,se,0.54,0.25,,0.25,0.46,0.25,,0.25,,,,,,none,,,,,,,,,,,,,,,,,,,,,,
21,spiny chromis,Acanthochromis polyacanthus,Aniimalia,Chordata,Actinopterygii,Pomacentridae,temperature,Lab experiment,controlled crosses over 2  gnerations,animaml model,narrow sense,,scenario +3,heat,maxilum metabolic rate ,Physiology,se,0.54,0.25,,0.25,0.58,0.28,,0.28,,,,,,none,,,,,,,,,,,,,,,,,,,,,,
21,spiny chromis,Acanthochromis polyacanthus,Aniimalia,Chordata,Actinopterygii,Pomacentridae,temperature,Lab experiment,controlled crosses over 2  gnerations,animaml model,narrow sense,,scenario +1.5,heat,net aerobic scope,Physiology,se,0.58,0.27,,0.27,0.53,0.26,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,spiny chromis,Acanthochromis polyacanthus,Aniimalia,Chordata,Actinopterygii,Pomacentridae,temperature,Lab experiment,controlled crosses over 2  gnerations,animaml model,narrow sense,,scenario +3,heat,net aerobic scope,Physiology,se,0.58,0.27,,0.27,0.78,0.29,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Black alder,Alnus glutinosa,Plantae,Angiosperm,Eudicots,Fagales,temperature,Lab experiment,wild populations,Variance among families (Broad sense heritability),broad sense,Picardy,Tuscany temperatures for northern populations (15/25C),heat,bud burst,LHT,se,0.139,0.098,,0.098,0.408,0.118,,0.118,se,0.032,0.03,0.19,0.087,,0.032,0.19,,,,,,,,,,,1010-061X,2016,29,2,253,264,,10.1111/jeb.12777,,WOS:000370070500003
22,Black alder,Alnus glutinosa,Plantae,Angiosperm,Eudicots,Fagales,temperature,Lab experiment,wild populations,Variance among families (Broad sense heritability),broad sense,Flanders,Tuscany temperatures for northern populations (15/25C),heat,bud burst,LHT,se,0.499,0.166,,0.166,0.348,0.118,,0.118,se,0.17,0.079,0.109,0.079,,0.17,0.109,,,,,,,,,,,,,,,,,,,,
22,Black alder,Alnus glutinosa,Plantae,Angiosperm,Eudicots,Fagales,temperature,Lab experiment,wild populations,Variance among families (Broad sense heritability),broad sense,Sjaeland,Tuscany temperatures for northern populations (15/25C),heat,bud burst,LHT,se,0.242,0.134,,0.134,0.2,0.113,,0.113,,0.112,0.067,0.106,0.073,,0.112,0.106,,,,,,,,,,,,,,,,,,,,
23,fruitfly,Drosophila birchii,Aniimalia,Arthropoda,Insecta,Diptera,temperature,Lab experiment,wild populations raised in lab for 11 gens,half-sib/full-sib narrow heritability ,narrow sense,only used constant 25 versus summer increased comparison,summer +1C ,heat,Knockdown time,Physiology,se,0.125,0.082,,0.082,0.187,0.045,,0.045,,,,,,,,,,,,,,,,,,,0014-3820,2016,70,2,456,464,,10.1111/evo.12843,,WOS:000370662500016
24,intertidal tubeworm,Galeolaria caespitosa,Aniimalia,Annelida,Polycaeta,Sabellida,temperature,Lab experiment,wild populations crossed in lab,half-sib/full-sib narrow heritability ,narrow sense,using sire VA percent only because that is standard way of calculating heritability,+4C,heat,Survival,LHT,none,0.25,,,NA,0.18,,,NA,,,,,,,,,,,,,,,,,,,1354-1013,2015,21,9,3356,3366,,10.1111/gcb.12929,,WOS:000360998400016
24,intertidal tubeworm,Galeolaria caespitosa,Aniimalia,Annelida,Polycaeta,Sabellida,temperature,Lab experiment,wild populations crossed in lab,half-sib/full-sib narrow heritability ,narrow sense,using sire VA percent only because that is standard way of calculating heritability,+8C,heat,Survival,LHT,none,0.25,,,NA,0,,,NA,,,,,,,,,,,,,,,,,,,0015-752X,2015,88,2,248,256,,10.1093/forestry/cpu055,,WOS:000352206500009
25,fruitfly,Drosophila melanogaster,Aniimalia,Arthropoda,Insecta,Diptera,temperature,Lab experiment,wild populations crossed in lab,half-sib/full-sib narrow heritability ,narrow sense,Melbourne,+1.6C,heat,Survival,LHT,95% CI,0.29,.21 - .37,-0.16,-0.040816327,0.16,.09-.22,0.13,0.033163265,,,,,,,,,,,,,,,,,,,0014-3820,2015,69,3,803,814,,10.1111/evo.12617,,WOS:000351446000019
25,fruitfly,Drosophila melanogaster,Aniimalia,Arthropoda,Insecta,Diptera,temperature,Lab experiment,wild populations crossed in lab,half-sib/full-sib narrow heritability ,narrow sense,Innisfail,+1.6C,heat,Survival,LHT,95% CI,0.25,.21-.31,0.1,0.025510204,0.11,.04-.17,0.13,0.033163265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Three-spined Stickleback,Gasterosteus aculeatus,Aniimalia,Chordata,Actinopterygii,Gasterosteiformes,temperature,Lab experiment,wild populations crossed in lab,half-sib/full-sib narrow heritability; animal model,narrow sense,,+4C,heat,30 day size,LHT,95% CI,0.34,.17-.55,0.38,0.096938776,0.5,.27-.67,0.4,0.102040816,,,,,,,,,,,,,,,,,,,0269-8463,2014,28,6,1482,1493,,10.1111/1365-2435.12280,,WOS:000344592000017
26,Three-spined Stickleback,Gasterosteus aculeatus,Aniimalia,Chordata,Actinopterygii,Gasterosteiformes,temperature,Lab experiment,wild populations crossed in lab,half-sib/full-sib narrow heritability; animal model,narrow sense,,+4C,heat,60 day size,LHT,95% CI,0.47,.27-.66,0.39,0.099489796,0.31,.15-.6,0.45,0.114795918,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,sea urchin,Strongylocentrotus purpuratus,Aniimalia,Echinodermata,Echinoidae,Echinoida,ocean acidification,Lab experiment,offspring of wild pairs,hafl/full sib animal model,broad sense,,ocean acidification,acidity,larval size,Morphology,95% CI,0.4,".08, .72",0.64,0.163265306,0.5,".2,.8",0.6,0.153061224,,,,,,,,,,,,,,,,,,,1354-1013,2013,19,8,2536,2546,,10.1111/gcb.12251,,WOS:000328744900020
30,fruitfly,Drosophila simulans,Aniimalia,Arthropoda,Insecta,Diptera,temperature,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,,ramping temperature,heat,heat knockdown time,Physiology,SE,0.241,0.028,,0.028,0.192,0.007,,0.007,,,,,,,,,,,,,,,,,,,1010-061X,2013,26,4,800,809,,10.1111/jeb.12090,,WOS:000317432700011
31,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,hypoxia,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,"Oir pop, exp. 1",hypoxia,hypoxia,Survival,LHT,95% CI,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1010-061X,2012,25,12,2596,2606,,10.1111/jeb.12007,,WOS:000311296500019
31,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,hypoxia,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,"Oir pop, exp. 1",hypoxia,hypoxia,Incubation time,LHT,95% CI,0.65,.46-.81,0.35,0.089285714,0.61,.36-.81,0.45,0.114795918,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,hypoxia,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,"Oir pop, exp. 1",hypoxia,hypoxia,Length  ,Morphology,95% CI,0.71,.57-.99,0.42,0.107142857,0.67,.55-.99,0.44,0.112244898,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,hypoxia,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,"Oir pop, exp. 2",hypoxia,hypoxia,Survival,LHT,95% CI,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,hypoxia,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,"Oir pop, exp. 2",hypoxia,hypoxia,Incubation time,LHT,95% CI,0.63,.46-79,0.33,0.084183673,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,hypoxia,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,"Oir pop, exp. 2",hypoxia,hypoxia,Length  ,Morphology,95% CI,0.58,.4-.98,0.58,0.147959184,0.31,0-.69,0.69,0.176020408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,hypoxia,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,"Scorff pop, exp. 1",hypoxia,hypoxia,Incubation time,LHT,95% CI,0.48,.09-.82,0.73,0.18622449,0.09,0-..75,0.75,0.191326531,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,hypoxia,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,"Scorff pop, exp. 1",hypoxia,hypoxia,Length  ,Morphology,95% CI,0.41,0-.99,0.99,0.25255102,0.27,0-.63,0.63,0.160714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,hypoxia,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,"Scorff pop, exp. 2",hypoxia,hypoxia,Survival,LHT,95% CI,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,hypoxia,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,"Scorff pop, exp. 2",hypoxia,hypoxia,Incubation time,LHT,95% CI,0.38,0-.99,0.99,0.25255102,0.27,0-.75,0.75,0.191326531,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,hypoxia,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,"Scorff pop, exp. 2",hypoxia,hypoxia,Length  ,Morphology,95% CI,0.57,.43-.70,0.27,0.068877551,0.08,0-.02,0.02,0.005102041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,hypoxia,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,"Saison pop, exp. 1",hypoxia,hypoxia,Survival,LHT,95% CI,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,hypoxia,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,"Saison pop, exp. 1",hypoxia,hypoxia,Incubation time,LHT,95% CI,0,0,0,0,0.05,0-.98,0.98,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,hypoxia,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,"Saison pop, exp. 1",hypoxia,hypoxia,Length  ,Morphology,95% CI,0.64,.37-.99,0.62,0.158163265,0.59,.37-.79,0.42,0.107142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,hypoxia,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,"Saison pop, exp. 2",hypoxia,hypoxia,Survival,LHT,95% CI,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,hypoxia,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,"Saison pop, exp. 2",hypoxia,hypoxia,Incubation time,LHT,95% CI,0.52,.36-.66,0.3,0.076530612,0.68,.41-.88,0.47,0.119897959,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,hypoxia,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,"Saison pop, exp. 2",hypoxia,hypoxia,Length  ,Morphology,95% CI,0.51,.19-.99,0.8,0.204081633,0.45,.25-.99,0.74,0.18877551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,hypoxia,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,"Allier pop, exp. 1",hypoxia,hypoxia,Survival,LHT,95% CI,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,hypoxia,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,"Allier pop, exp. 1",hypoxia,hypoxia,Incubation time,LHT,95% CI,0.55,.38-.72,0.34,0.086734694,0.49,.31-.66,0.35,0.089285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,hypoxia,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,"Allier pop, exp. 1",hypoxia,hypoxia,Length  ,Morphology,95% CI,0.68,.47-.99,0.52,0.132653061,0.54,.37-.70,0.33,0.084183673,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Crawling frog,Pseudophryne guentheri,Aniimalia,Chordata,Amphibia,Anura,drought,Field experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,no estimates of SE,dry treatment,drought,Survival,LHT,none,0,,,NA,0,,,NA,,,,,,,,,,,,,,,,,,,0014-3820,2012,66,9,2865,2877,,10.1111/j.1558-5646.2012.01616.x,,WOS:000308405100015
32,Crawling frog,Pseudophryne guentheri,Aniimalia,Chordata,Amphibia,Anura,drought,Field experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,,dry treatment,drought,Time to hatch,LHT,none,0.18,,,NA,0.37,,,NA,,,,,,,,,,,,,,,,,,,1614-2942,2012,8,4,801,810,,10.1007/s11295-011-0465-4,,WOS:000307291800014
32,Crawling frog,Pseudophryne guentheri,Aniimalia,Chordata,Amphibia,Anura,drought,Field experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,,dry treatment,drought,Mass,Morphology,none,0.47,,,NA,0.01,,,NA,,,,,,,,,,,,,,,,,,,1010-061X,2012,25,6,1209,1215,,10.1111/j.1420-9101.2012.02513.x,,WOS:000304033000017
32,Crawling frog,Pseudophryne guentheri,Aniimalia,Chordata,Amphibia,Anura,drought,Field experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,,dry treatment,drought,Body size,Morphology,none,0.07,,,NA,0.01,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Crawling frog,Pseudophryne guentheri,Aniimalia,Chordata,Amphibia,Anura,drought,Field experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,,dry treatment,drought,Body shape (rel. warp 1),Morphology,none,0.37,,,NA,0.14,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Crawling frog,Pseudophryne guentheri,Aniimalia,Chordata,Amphibia,Anura,drought,Field experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,,dry treatment,drought,Body shape (rel. warp 2),Morphology,none,0.12,,,NA,0.07,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Crawling frog,Pseudophryne guentheri,Aniimalia,Chordata,Amphibia,Anura,drought,Field experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,,dry treatment,drought,Body shape (rel. warp 3),Morphology,none,0,,,NA,0.02,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Patagonian cypress,Austrocedrus chilensis,Plantae,Gymnosperms,Pinopsida,Pinales,drought,Field experiment,wild offspring,full sib GLMM,broad sense,"Two natural sites, experiment 2 described as drier and more extreme; only used post-summer and not post-winter, because not interested in cold tolerance, only drought tolerance and ramifications for CC; Canada Molina",Experiment 2,drought,Survival,LHT,se,0.28,0.15,,0.15,0.77,0.32,,0.32,,,,,,,,,,,,,,,,,,,1354-1013,2011,17,3,1277,1288,,10.1111/j.1365-2486.2010.02316.x,,WOS:000286837900003
33,Patagonian cypress,Austrocedrus chilensis,Plantae,Gymnosperms,Pinopsida,Pinales,drought,Field experiment,wild offspring,full sib GLMM,broad sense,Canada Rahueco,Experiment 2,drought,Survival,LHT,se,0,0,,0,1.1,0.33,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Patagonian cypress,Austrocedrus chilensis,Plantae,Gymnosperms,Pinopsida,Pinales,drought,Field experiment,wild offspring,full sib GLMM,broad sense,Catan lil,Experiment 2,drought,Survival,LHT,se,0,0,,0,1.13,0.32,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Patagonian cypress,Austrocedrus chilensis,Plantae,Gymnosperms,Pinopsida,Pinales,drought,Field experiment,wild offspring,full sib GLMM,broad sense,Chacabuco,Experiment 2,drought,Survival,LHT,se,0,0,,0,1.02,0.26,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Patagonian cypress,Austrocedrus chilensis,Plantae,Gymnosperms,Pinopsida,Pinales,drought,Field experiment,wild offspring,full sib GLMM,broad sense,Chacay,Experiment 2,drought,Survival,LHT,se,0,0,,0,0.91,0.28,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Patagonian cypress,Austrocedrus chilensis,Plantae,Gymnosperms,Pinopsida,Pinales,drought,Field experiment,wild offspring,full sib GLMM,broad sense,La Fragua,Experiment 2,drought,Survival,LHT,se,0,0,,0,0.45,0.23,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Patagonian cypress,Austrocedrus chilensis,Plantae,Gymnosperms,Pinopsida,Pinales,drought,Field experiment,wild offspring,full sib GLMM,broad sense,Pilcaneu Norte,Experiment 2,drought,Survival,LHT,se,0.71,0.24,,0.24,0.59,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Patagonian cypress,Austrocedrus chilensis,Plantae,Gymnosperms,Pinopsida,Pinales,drought,Field experiment,wild offspring,full sib GLMM,broad sense,Pilcaneu Sur,Experiment 2,drought,Survival,LHT,se,0.68,0.27,,0.27,0.63,0.21,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Patagonian cypress,Austrocedrus chilensis,Plantae,Gymnosperms,Pinopsida,Pinales,drought,Field experiment,wild offspring,full sib GLMM,broad sense,El Maiten,Experiment 2,drought,Survival,LHT,se,0,0,,0,0.62,0.21,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Patagonian cypress,Austrocedrus chilensis,Plantae,Gymnosperms,Pinopsida,Pinales,drought,Field experiment,wild offspring,full sib GLMM,broad sense,Leleque,Experiment 2,drought,Survival,LHT,se,0,0,,0,0.32,0.15,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,fruitfly,Drosophila melanogaster,Aniimalia,Chordata,Insecta,Diptera,temperature,Lab experiment,offspring of wild pairs reared for 20 generations in lab,hafl/full sib animal model,narrow sense,only looked at high temperature not cycling temperature treatments,+ 5C,heat,Survival,LHT,95% CI,0.233,".147,.369",0.222,0.056632653,0.197,".119,.308",0.189,0.048214286,,,,,,,,,,,,,,,,,,,0269-8463,2011,25,1,111,121,,10.1111/j.1365-2435.2010.01778.x,,WOS:000286468500011
35,damselfly,Ischnura elegans,Aniimalia,Chordata,Insecta,Odonata,temperature,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,Sweden,+ 6C,heat,larval growth rate,LHT,95% CI,0.71,.49-.92,0.43,0.109693878,0.88,.68-.96,0.28,0.071428571,,,,,,,,,,,,,,,,,,,0014-3820,2010,64,8,2221,2237,,10.1111/j.1558-5646.2010.00991.x,,WOS:000280632900003
35,damselfly,Ischnura elegans,Aniimalia,Chordata,Insecta,Odonata,temperature,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,Belgium ,+ 6C,heat,larval growth rate,LHT,95% CI,0.68,.4-.9,0.5,0.12755102,0.79,.54-.94,0.4,0.102040816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
